instance,scenario,progress,scenario_seed,method,algorithm_seed_count,algorithm_seed_min,algorithm_seed_max,greedy_baseline_cost,route_cost_mean,route_cost_sample_sd,route_cost_median,route_cost_min,route_cost_max,route_cost_cv,online_time_ms_mean,online_time_ms_sample_sd,online_time_ms_median,online_time_ms_min,online_time_ms_max,online_time_ms_cv,paired_relative_reduction_percent
M-C,service_location_invalidation,0.25,1,dynamic_ails,10,1000,1009,120.091880515,120.0903903311596,0.0047123750680409995,120.091880515,120.076978676596,120.091880515,3.924023441880919e-05,1046.21436,31.923297766267485,1037.05475,1007.7071,1098.6971,0.03051315197610888,0.0012408697690571692
M-C,service_location_invalidation,0.25,1,global_replan,10,1000,1009,120.091880515,136.35689750654402,11.340120816374275,141.066595208945,120.098649735972,147.031190604264,0.08316499585824064,1129.0899299999999,19.496205894483946,1129.0576,1103.3699,1174.4478,0.017267186055307346,-13.543810723750342
M-C,service_location_invalidation,0.25,2,dynamic_ails,10,1000,1009,120.091880515,120.091880515,0.0,120.091880515,120.091880515,120.091880515,0.0,1044.2633,23.005153372282102,1039.4182999999998,1011.687,1079.9381,0.02203003147987878,0.0
M-C,service_location_invalidation,0.25,2,global_replan,10,1000,1009,120.091880515,134.47597612554438,4.133129459288268,134.854666255658,126.293260019512,139.27976265357,0.030735076839521522,1142.05556,33.04226489759242,1131.8744,1102.4323,1202.5408,0.028932274448707572,-11.977575460439011
M-C,service_location_invalidation,0.5,0,dynamic_ails,10,1000,1009,121.01549691741,121.01549691740999,0.0,121.01549691741,121.01549691741,121.01549691741,0.0,1024.10846,11.7992431512647,1022.5973,1007.4881,1044.103,0.011521478058353995,1.174300405914174e-14
M-C,service_location_invalidation,0.5,0,global_replan,10,1000,1009,121.01549691741,123.47530446974511,3.9224299873826993,121.01549691741,121.01549691741,131.4373613401,0.031766918933524915,1062.40969,11.808688682910057,1060.57755,1049.7228,1081.0137,0.011115004686101892,-2.0326384760572136
M-C,service_location_invalidation,0.5,1,dynamic_ails,10,1000,1009,120.091880515,120.091880515,0.0,120.091880515,120.091880515,120.091880515,0.0,1024.82085,10.014136608509425,1027.5098,1008.8565,1042.7701,0.009771597258691042,0.0
M-C,service_location_invalidation,0.5,1,global_replan,10,1000,1009,120.091880515,120.0859197796384,0.007695276262209074,120.091880515,120.076978676596,120.091880515,6.4081420006027e-05,1058.21002,8.925259104586289,1055.4292,1046.6073,1073.4049,0.008434298424604114,0.004963479076216844
M-C,service_location_invalidation,0.5,2,dynamic_ails,10,1000,1009,120.091880515,120.091880515,0.0,120.091880515,120.091880515,120.091880515,0.0,1018.99059,10.453813623261562,1018.5592,1007.1501,1032.9564,0.010258989362464634,0.0
M-C,service_location_invalidation,0.5,2,global_replan,10,1000,1009,120.091880515,120.2630299556773,0.28593400026773075,120.091880515,120.076978676596,120.677280488995,0.0023775718969754143,1069.64996,10.880474443413691,1069.6194,1052.359,1084.5186,0.010171995372592443,-0.14251541398414508
M-C,service_location_invalidation,0.75,0,dynamic_ails,10,1000,1009,121.01549691741,121.01549691740999,0.0,121.01549691741,121.01549691741,121.01549691741,0.0,1008.64479,2.269380660713893,1008.4146499999999,1004.6527,1012.4416,0.0022499304841636994,1.174300405914174e-14
