progress,scenario,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
0.5,service_location_invalidation,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927928,0.004435554788122825,-1.18333185010181e-16,0.00768260625278402,1019.7162666666667,8.278613126202576,1010.2142,1025.372,0.0,0.0,0.0,0.0,2.6666666666666665,1.5275252316519468,1.0,4.0,1.0,0.0,1.0,1.0,15.333333333333334,1.1547005383792515,14.0,16.0,0.0,0.0,0.0,0.0,7.333333333333333,6.658328118479393,3.0,15.0,2.0,3.4641016151377544,0.0,6.0,3.0,1.0,2.0,4.0
0.5,service_location_invalidation,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,121.28324288831432,2.0764188997258035,120.076978676596,123.680869473347,0.009917593535944342,0.017285349716179545,-0.000124086976905954,0.0298768675847391,1058.0966666666666,5.968600001116927,1053.0528,1064.686,0.0,0.0,0.0,0.0,4.333333333333333,1.5275252316519465,3.0,6.0,1.0,0.0,1.0,1.0,20.0,8.717797887081348,14.0,30.0,0.0,0.0,0.0,0.0,20.666666666666668,5.507570547286102,15.0,26.0,2.6666666666666665,1.5275252316519468,1.0,4.0,13.666666666666666,7.234178138070235,9.0,22.0
0.5,service_location_invalidation,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927928,0.004435554788122825,-1.18333185010181e-16,0.00768260625278402,0.5079666666666666,0.027976835656187662,0.478,0.5334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,service_location_invalidation,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927928,0.004435554788122825,-1.18333185010181e-16,0.00768260625278402,5.9374666666666664,0.09350349369586872,5.8331,6.0136,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,new_task_arrival,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,131.80706885874065,2.7987344475472278,130.191218772059,135.038769032104,0.09754878650320493,0.023299590434153465,0.0840967616940384,0.124452836121538,1011.6649000000001,4.205182688064819,1007.6917,1016.0689,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,2.0,15.0,19.0,0.0,0.0,0.0,0.0,12.333333333333334,4.041451884327381,8.0,16.0,3.6666666666666665,2.081665999466133,2.0,6.0,5.0,3.0,2.0,8.0
0.75,new_task_arrival,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,131.04632676820066,1.4810904952757822,130.191218772059,132.756542760484,0.09121417158190359,0.01232771554407563,0.0840967616940384,0.105448991357634,1036.8089,2.312334640574401,1034.7629,1039.3176,0.3333333333333333,0.5773502691896258,0.0,1.0,4.333333333333333,1.5275252316519465,3.0,6.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,22.0,14.0,8.0,36.0,4.333333333333333,0.5773502691896257,4.0,5.0,11.0,11.532562594670797,2.0,24.0
0.75,new_task_arrival,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,136.41099373599602,3.9179406036903246,133.17110893461,140.765459574028,0.135885467962628,0.03262584704622028,0.108910180800917,0.172148016754939,1.3128666666666666,0.08930007465469068,1.2578,1.4159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,1.1547005383792515,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,new_task_arrival,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,135.166532901984,3.7987870581861096,131.433239517215,139.027590156633,0.1255229012296703,0.03163249521518422,0.0944390158067259,0.157676851760747,6.099,0.2568177758645226,5.8062,6.2861,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.666666666666666,1.1547005383792515,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,robot_failure,dynamic_ails,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,167.69347818419268,8.910070076827145,161.487223715419,177.903021735936,0.39637241526645367,0.0741867782730735,0.344697268648811,0.481378709087654,1007.4528999999999,3.314887429461244,1005.3895,1011.2766,5.0,2.6457513110645907,3.0,8.0,4.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,17.333333333333332,8.082903768654761,10.0,26.0,0.0,0.0,0.0,0.0,14.0,2.6457513110645907,12.0,17.0,4.666666666666667,3.5118845842842465,1.0,8.0,5.0,5.196152422706632,2.0,11.0
0.75,robot_failure,global_replan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,168.15978832796034,8.589034197697272,161.683939559247,177.903021735936,0.40025536007310963,0.07151359612168108,0.346335313144272,0.481378709087654,1024.2850666666666,3.243494057853835,1021.4563,1027.8252,6.666666666666667,3.2145502536643185,3.0,9.0,4.666666666666667,0.5773502691896257,4.0,5.0,0.0,0.0,0.0,0.0,20.666666666666668,2.309401076758503,18.0,22.0,0.0,0.0,0.0,0.0,21.0,14.933184523068078,4.0,32.0,6.333333333333333,5.686240703077327,0.0,11.0,4.666666666666667,2.0816659994661326,3.0,7.0
0.75,robot_failure,greedy,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,170.107550082146,10.678687142399685,162.490899162481,182.313752098658,0.41647418872086567,0.08891382166165739,0.353054831564451,0.518106371086347,0.6873333333333332,0.12079508820036242,0.5486,0.7692,3.0,0.0,3.0,3.0,1.3333333333333333,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,robot_failure,greedy_ls,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,169.99558624492033,10.774680544427717,162.322953406642,182.313752098658,0.4155418705928984,0.08971315335170284,0.3516563543725,0.518106371086347,4.779233333333334,0.11393863845655391,4.6477,4.8475,3.0,0.0,3.0,3.0,1.0,1.7320508075688772,0.0,3.0,0.0,0.0,0.0,0.0,8.0,3.4641016151377544,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,service_location_invalidation,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39478536966867,0.5376036042676231,120.076978676596,121.01549691741,0.002519506425292728,0.004471806040733415,-0.000124086976905836,0.00768260625278402,1010.4313333333333,3.2656861489330433,1007.7273,1014.0595,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896257,1.0,2.0,1.0,0.0,1.0,1.0,9.333333333333334,3.055050463303893,6.0,12.0,0.0,0.0,0.0,0.0,7.333333333333333,8.736894948054106,0.0,17.0,2.6666666666666665,3.785938897200183,0.0,7.0,1.6666666666666667,2.0816659994661326,0.0,4.0
0.75,service_location_invalidation,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750928007,0.004435554788122756,0.0,0.00768260625278402,1021.3076666666666,2.762048821678091,1018.194,1023.4626,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,10.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,11.333333333333334,7.637626158259733,3.0,18.0,2.3333333333333335,2.5166114784235836,0.0,5.0,6.666666666666667,7.234178138070234,2.0,15.0
0.75,service_location_invalidation,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750928007,0.004435554788122756,0.0,0.00768260625278402,0.5008666666666667,0.22744019726805845,0.3523,0.7627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.666666666666667,1.1547005383792515,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,service_location_invalidation,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750928007,0.004435554788122756,0.0,0.00768260625278402,4.584033333333333,0.23900720351766233,4.4157,4.8576,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.666666666666667,1.1547005383792515,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
